Company,Company LinkedIn,Company Location (State),Employee Size,Industry,Phone,Revenue,Website
GOODWILL INDUSTRIES OF SOUTHEASTERN WISCONSIN,,,1800,Retail,,214103000,http://www.goodwillsew.com
"GORDON ALUMINUM INDUSTRIES, INC.",,Wisconsin,85,mining & metals,,30200000,gordonaluminum.com
GORILLA GLUE,,,750,Manufacturing,,300000000,http://www.gorillatough.com/careers
GORUCK,,,69,Retail,,35000000,http://www.goruck.com
GOSIGER,,,350,Machinery Manufacturing,,232700000,http://www.gosiger.com
GP REEVES,,Michigan,52,machinery,,32436000,gpreeves.com
"GPM, INC.",,Minnesota,96,mining & metals,,26000000,gpmco.com
GRACELAND FRUIT,,,350,Food and Beverage Services,,73000000,http://www.gracelandfruit.com
GRAFF,,Wisconsin,93,Mechanical Or Industrial Engineering,,32080000,graff-designs.com
GRAFIKA PRINT,,Pennsylvania,80,Packaging & Containers,,47000000,grafikaprint.com
GRAHAM ARCHITECTURAL PRODUCTS,,Pennsylvania,140,Construction,,108600000,grahamwindows.com
GRAND DESIGN RV,,Indiana,290,Automotive,,461700000,granddesignrv.com
GRAND RAPIDS CHAIR COMPANY,,,72,Furniture and Home Furnishings Manufacturing,,40677000,grandrapidschair.com
GRANDE CHEESE COMPANY,,,3000,Food and Beverage Manufacturing,,110000000,http://www.grande.com
GRASSLAND DAIRY PRODUCTS,,,750,Dairy Product Manufacturing,,35000000,http://www.grassland.com
GRAYMATTER,,,125,Automation Machinery Manufacturing,,36100000,https://www.GrayMatterSystems.com
GREAT BAY DISTRIBUTORS,,,350,Wholesale,,64800000,http://www.greatbaybud.com
GREAT NORTHERN CORPORATION,,,3000,Packaging & Containers,,32000000,http://www.GreatNorthernCorp.com
GREEN BAY PACKAGING,,,3000,Packaging and Containers Manufacturing,,120000000,http://www.gbp.com
GREEN BAY PACKAGING COATED PRODUCTS,,Wisconsin,53,Packaging & Containers,,300000000,gbpcoated.com
GREEN CIRCLE GROWERS,,,750,Manufacturing,,109400000,http://www.greencirclegrowers.com
GREEN TOKAI,,,750,Motor Vehicle Manufacturing,,156700000,http://www.greentokai.com
GREENBRIDGE,,,350,Packaging and Containers Manufacturing,,300000000,http://www.greenbridge.com
GREENE TWEED,,,3000,Manufacturing,,400000000,https://www.gtweed.com
GREENLEAF CORPORATION,,,110,Industrial Machinery Manufacturing,,108400000,greenleafcorporation.com
GROTE INDUSTRIES,,Indiana,1000,Automotive,,250000000,grote.com
GT,,,3000,Motor Vehicle Manufacturing,,38520000,http://www.gttechnologies.com
"GUHRING, INC.",,,350,Mechanical Or Industrial Engineering,,90000000,http://www.guhring.com
GURLEY LEEP AUTOMOTIVE FAMILY,,Indiana,210,Motor Vehicle Manufacturing,,40517000,gurleyleep.com
"GUY & O'NEILL, INC.",,,125,Manufacturing,,86600000,http://www.guyandoneill.com
GUY BROWN,,,77,Business Supplies & Equipment,,205960000,http://www.guybrown.com
H.H. BARNUM,,,350,Automation Machinery Manufacturing,,56000000,https://www.hhbarnum.com
H.H. BARNUM COMPANY,,,180,Automation Machinery Manufacturing,,56043000,hhbarnum.com
"HA INDUSTRIES, INC.",,,58,Automation Machinery Manufacturing,,27980000,ha-industries.com
HACKBARTH DELIVERY SERVICE,,,210,Transportation/Trucking/Railroad,,29167000,http://www.hackbarthdelivery.com
HADCO METAL TRADING,,,350,Mining,,85400000,http://www.hadco-metal.com
HALCON FURNITURE,,,150,Furniture and Home Furnishings Manufacturing,,70000000,halconfurniture.com
HAMPEL,,Wisconsin,78,plastics,,90000000,hampelcorp.com
HANA,,,68,electrical/electronic manufacturing,,29297000,http://www.hana.family
HANOVER FOODS,,,3000,Food Production,,61547000,https://www.hanoverfoods.com
HARBISONWALKER INTERNATIONAL,,Pennsylvania,770,"glass, ceramics & concrete",,600000000,thinkhwi.com
HARKEN INC.,,,350,Maritime Transportation,,41800000,http://www.harken.com
HARMONY BIOSCIENCES,,,350,Pharmaceutical Manufacturing,,437900000,https://www.harmonybiosciences.com/
HARRIS PRODUCTS,,,750,Machinery Manufacturing,,345000000,http://www.harrisproductsgroup.com
HARRISON STEEL CASTINGS,,Indiana,140,mining & metals,,34500000,hscast.com
HATCH STAMPING,,,750,Motor Vehicle Manufacturing,,256700000,http://www.hatchstamping.com
HAVILAND ENTERPRISES,,,350,Chemical Manufacturing,,97500000,http://www.havilandusa.com
HAYES PERFORMANCE SYSTEMS,,,750,Motor Vehicle Manufacturing,,70000000,https://hayesperformance.com/
HBD INDUSTRIES,,,3000,Mechanical Or Industrial Engineering,,137500000,http://www.hbdindustries.com
HDT,,,750,Defense & Space,,210000000,http://www.hdtglobal.com
HEARTH & HOME TECHNOLOGIES,,Minnesota,890,Manufacturing,,40000000,hearthnhome.com
HEARTLAND RV,,Indiana,540,Automotive,,200000000,heartlandrvs.com
"HED, INC.",,,125,"Appliances, Electrical, and Electronics Manufacturing",,33600000,http://www.HEDcontrols.com
HEDSTROM PLASTICS,,,125,Manufacturing,,52400000,http://www.hedstromplastics.com
HEIDELBERG DISTRIBUTING,,,3000,Food & Beverages,,300000000,http://www.heidelbergdistributing.com
HEINEN'S GROCERY STORE,,,1200,Retail,,450000000,http://www.heinens.com
HEISER AUTOMOTIVE GROUP,,,350,Motor Vehicle Manufacturing,,61700000,http://www.heiser.com
HELMER SCIENTIFIC,,Indiana,230,medical devices,,50000000,helmerinc.com
HELWIG CARBON PRODUCTS,,,350,"Appliances, Electrical, and Electronics Manufacturing",,45200000,http://www.helwigcarbon.com
HEMLOCK SEMICONDUCTOR,,,3000,Chemical Manufacturing,,407000000,http://www.hscpoly.com
HENTZEN COATINGS,,,350,Chemical Manufacturing,,37600000,http://www.hentzen.com
HFI,,,3000,Motor Vehicle Manufacturing,,468100000,https://www.hfi-inc.com
HGC INDUSTRIES,,Indiana,69,Manufacturing,,33000000,hgcindustries.com
HILLSDALE FURNITURE,,,120,Furniture and Home Furnishings Manufacturing,,75000000,hillsdalefurniture.com
HINO MOTORS MANUFACTURING USA,,Michigan,910,Automotive,,86600000,hmmusa.com
HIROTEC AMERICA,,,350,Automotive,,35400000,http://www.hirotecamerica.com
HI-TECH MOLD & ENGINEERING,,,350,Automotive,,30400000,http://www.hitechmold.com
HOBART BROTHERS,,,750,Industrial Machinery Manufacturing,,33700000,http://www.hobartbrothers.com
HOHMAN PLATING,,,125,Aviation and Aerospace Component Manufacturing,,128700000,http://www.hohmanplating.com
HOLLYWOOD FEED,,,440,Retail,,26000000,http://www.hollywoodfeed.com
HOME APPLIANCE SALES & SERVICE,,,99,Retail,,87930000,http://www.yourhomeappliance.com
HOME CITY ICE,,,3000,Manufacturing,,55000000,http://www.homecityice.com
HOMEDICS,,,350,Manufacturing,,436200000,http://www.homedics.com/
HOMETOWN PHARMACY,,,750,Pharmaceutical Manufacturing,,98500000,http://www.hometownpharmacyrx.com/
HORIZONS,,,125,Defense & Space,,189300000,http://horizons-inc.com/
HORSBURGH & SCOTT,,,125,Machinery Manufacturing,,38500000,http://www.horsburgh-scott.com
HOSE MASTER,,,350,Industrial Machinery Manufacturing,,135800000,https://www.hosemaster.com
HOUSE OF FLAVORS,,,350,Food and Beverage Manufacturing,,31397000,http://www.houseofflavors.com
HOVERTECH INTERNATIONAL,,Pennsylvania,66,medical devices,,100000000,hovermatt.com
HOWARD MILLERÂ® & HEKMANÂ® FURNISHINGS,,,94,Furniture and Home Furnishings Manufacturing,,75000000,howardmiller.com
HOWARD TERNES PACKAGING CO,,Michigan,130,Packaging & Containers,,25000000,ternespkg.com
"HR PHARMACEUTICALS, INC",,Pennsylvania,110,medical devices,,25000000,hrpharma.com
HRI,,Pennsylvania,230,Construction,,445600000,hriinc.com
HRST,,Minnesota,67,Mechanical Or Industrial Engineering,,33500000,hrstinc.com
HUGHES-PETERS,,,88,electrical/electronic manufacturing,,40396000,http://www.hughespeters.com
HUI MANUFACTURING,,Wisconsin,230,machinery,,43000000,huimfg.com
HUMANETICS,,,750,Motor Vehicle Manufacturing,,30000000,https://www.humaneticsgroup.com
HUMPHREY PRODUCTS,,,350,"Appliances, Electrical, and Electronics Manufacturing",,57200000,http://www.humphrey-products.com
"HURCO COMPANIES, INC.",,Indiana,250,Machinery Manufacturing,,250810000,hurco.com
HUSCO,,,3000,Industrial Machinery Manufacturing,,451000000,http://www.husco.com
HUTCHINSON TECHNOLOGY INC.,,Minnesota,920,"Appliances, Electrical, and Electronics Manufacturing",,234649000,htch.com
HVAC DISTRIBUTORS,,,125,Wholesale,,48000000,http://www.hvacdist.com
HYDRAFORCE,,,3000,Industrial Machinery Manufacturing,,220000000,http://www.hydraforce.com
HY-KO PRODUCTS,,,125,Manufacturing,,35000000,https://www.hy-ko.com/
HYPERION MATERIALS & TECHNOLOGIES,,,3000,Industrial Machinery Manufacturing,,389400000,http://www.HyperionMT.com
HYPRO INC.,,Wisconsin,230,machinery,,75000000,hypro.com
IBCC INDUSTRIES,,,750,Industrial Machinery Manufacturing,,76200000,http://www.ibccind.com/
"IBCC INDUSTRIES, INC.",,,750,Industrial Machinery Manufacturing,,76200000,http://www.ibccind.com/
ICE HOUSE AMERICA,,,52,Retail,,30200000,http://www.icehouseamerica.com
ICE INDUSTRIES,,,750,Manufacturing,,130900000,http://www.iceindustries.com
ID IMAGES,,,350,Printing Services,,41800000,http://www.idimages.com
IDEAL AEROSMITH INC.,,North Dakota,91,electrical/electronic manufacturing,,25000000,ideal-aerosmith.com
IDEAL ELECTRIC COMPANY,,,100,electrical/electronic manufacturing,,75000000,http://www.theidealelectric.com
IDESIGN,,,350,Manufacturing,,215000000,https://www.idesignlivesimply.com/
IDI COMPOSITES INTERNATIONAL,,Indiana,160,plastics,,328700000,idicomposites.com
IDI DISTRIBUTORS,,,350,Wholesale Building Materials,,88500000,https://www.idi-insulation.com
IDX CORPORATION,,Michigan,540,Mechanical Or Industrial Engineering,,365000000,idxcorporation.com
IGPS LOGISTICS,,,140,logistics & supply chain,,100000000,http://www.igps.net
IKIO LED LIGHTING,,Indiana,120,electrical/electronic manufacturing,,27900000,ikioledlighting.com
ILLING PACKAGING,,,125,Packaging and Containers Manufacturing,,46400000,https://www.illingcompany.com/
"ILPEA INDUSTRIES, INC.",,Indiana,260,Plastics Manufacturing,,40084000,ilpeaindustries.com
ILSCO,,,260,electrical/electronic manufacturing,,250000000,http://www.ilsco.com
IMI PBM,,Pennsylvania,150,Mechanical Or Industrial Engineering,,356000000,pbmvalve.com
IMMI,,Indiana,750,Automotive,,533000000,imminet.com
IMPERIAL BEVERAGE,,,350,Wine & Spirits,,33673000,http://imperialbeverage.com/
IMPERIAL CLINICAL RESEARCH SERVICES,,Michigan,90,Pharmaceutical Manufacturing,,55000000,imperialcrs.com
INCERTEC,,Minnesota,77,machinery,,25000000,incertec.com
INDELCO PLASTICS CORPORATION,,Minnesota,79,plastics,,47000000,indelco.com
INDEPENDENT PHARMACY COOPERATIVE,,,125,Pharmaceutical Manufacturing,,30800000,http://www.ipcrx.com
INDEPENDENT PHARMACY COOPERATIVE (IPC),,,125,Pharmaceutical Manufacturing,,30800000,http://www.ipcrx.com
INDIANA CARTON COMPANY,,Indiana,52,Packaging & Containers,,33400000,indianacarton.com
INDIANA TUBE CORPORATION,,Indiana,59,mining & metals,,31300000,indianatube.com
"INDUSTRIAL MAGNETICS, INC.",,Michigan,66,machinery,,29100000,magnetics.com
INDUSTRIAL SCIENTIFIC,,,680,electrical/electronic manufacturing,,182000000,http://www.indsci.com
INFINITY MACHINE AND ENGINEERING,,Wisconsin,76,machinery,,51324000,infinitymec.com
INFUSYSTEM,,,350,Medical Equipment Manufacturing,,107600000,http://www.infusystem.com
INLAND,,,350,Packaging and Containers Manufacturing,,31200000,http://www.inlandpackaging.com
INNOTEC,,,350,Motor Vehicle Manufacturing,,69000000,http://www.innotecgroup.com
INNOVATIVE SOLUTIONS & SUPPORT,,,110,Aviation & Aerospace,,29079000,innovative-ss.com
INNOVIZE,,Minnesota,140,medical devices,,37400000,innovize.com
INOAC USA,,,3000,Plastics Manufacturing,,300000000,http://www.inoacusa.com
INOLEX,,,125,Personal Care Product Manufacturing,,500000000,http://www.inolex.com
"INOVISION, INC.",,Michigan,69,Automation Machinery Manufacturing,,27200000,inovision.com
INPRO,,,750,Wholesale Building Materials,,146100000,https://www.inprocorp.com
INSOLVES,,,83,electrical/electronic manufacturing,,25000000,http://www.insolves.com
INSPIRE MEDICAL SYSTEMS,,Minnesota,990,medical devices,,570190000,inspiresleep.com
INTEGRATED PACKAGING MACHINERY,,,125,Automation Machinery Manufacturing,,43200000,http://www.callipm.com
INTERCOMP COMPANY,,,66,"Appliances, Electrical, and Electronics Manufacturing",,25700000,intercompcompany.com
INTEREUM,,,180,Furniture and Home Furnishings Manufacturing,,61700000,intereum.com
INTERKAL,,Michigan,62,Construction,,27800000,interkal.com
INTERMATIC,,,750,"Appliances, Electrical, and Electronics Manufacturing",,300000000,http://www.Intermatic.com
INTERNATIONAL AUTOS GROUP,,,350,Motor Vehicle Manufacturing,,40000000,http://www.iaautogroup.com
INTERNATIONAL DIAMOND CENTER,,,100,Retail,,36056000,http://www.shopidc.com
INTERNATIONAL THERMAL SYSTEMS,,,125,Machinery Manufacturing,,43500000,http://www.internationalthermalsystems.com
INTERPLASTIC,,,350,Chemical Manufacturing,,30400000,http://www.interplastic.com
INTERPLASTIC CORPORATION,,,340,Chemical Manufacturing,,150000000,interplastic.com
INTERVALA,,,350,"Appliances, Electrical, and Electronics Manufacturing",,59300000,http://www.intervala.com
INTRICON CORPORATION,,Minnesota,250,medical devices,,139990000,intricon.com
INVOTEC,,,125,Automation Machinery Manufacturing,,42200000,https://www.invotec.com
IRISO USA,,Michigan,58,electrical/electronic manufacturing,,324800000,irisoconnectors.com
IROQUOIS INDUSTRIES,,Michigan,180,Automotive,,249500000,iroquoisind.com
IRWIN SEATING,,,350,Furniture and Home Furnishings Manufacturing,,155000000,http://www.irwinseating.com
ITAMCO,,Indiana,89,mining & metals,,30800000,itamco.com
ITC INCORPORATED,,Michigan,170,electrical/electronic manufacturing,,133000000,itc-us.com
ITW EAE,,Minnesota,250,electrical/electronic manufacturing,,66700000,itweae.com
ITW FOOD EQUIPMENT GROUP,,,290,electrical/electronic manufacturing,,266600000,http://www.itwfoodequipment.com
IVI INC.,,Wisconsin,59,machinery,,28900000,ivinc.com
J.W. SPEAKER CORPORATION,,,350,"Appliances, Electrical, and Electronics Manufacturing",,100400000,http://www.jwspeaker.com/
JAC PRODUCTS,,,3000,Motor Vehicle Manufacturing,,32400000,http://www.jacproducts.com
JACK LINK'S PROTEIN SNACKS,,,3000,Manufacturing,,62600000,http://www.jacklinks.com
JAECKLE DISTRIBUTORS,,,125,Wholesale,,64000000,http://www.jaeckledistributors.com
JARRETT,,,170,logistics & supply chain,,119400000,http://www.gojarrett.com
JAYCO,,Indiana,890,Automotive,,507300000,jaycofamily.com
JBC TECHNOLOGIES,,,125,Manufacturing,,54300000,http://www.jbc-tech.com
JBM PACKAGING,,,125,Packaging and Containers Manufacturing,,35300000,http://www.jbmpackaging.com
JEDCO,,,350,Aviation and Aerospace Component Manufacturing,,31200000,http://jedinc.com
JEFFERS,,,86,Retail,,29944000,http://www.jefferspet.com
JEGS PERFORMANCE,,,210,Retail,,100000000,http://www.jegs.com
JEM TECHNICAL,,Minnesota,79,machinery,,25000000,jemtechnical.com
JENI'S SPLENDID ICE CREAMS,,,3000,Food and Beverage Manufacturing,,95700000,http://jenis.com
JENNMAR,,Pennsylvania,4000,mining & metals,,204000000,jennmar.com
JET EDGE INTERNATIONAL,,,350,Aviation and Aerospace Component Manufacturing,,100000000,https://www.flyjetedge.com/
JEWELRY TELEVISION,,,910,Retail,,397924000,http://www.jtv.com
JIFFY,,,350,Food and Beverage Manufacturing,,35000000,http://www.jiffymix.com
JL AUDIO,,,330,electrical/electronic manufacturing,,131250000,http://www.jlaudio.com
JOHNSON-LANCASTER AND ASSOCIATES,,,110,Retail,,27361000,http://www.johnson-lancaster.com
JONES SIGN,,Wisconsin,370,Construction,,135800000,jonessign.com
JONTI-CRAFT,,,77,Furniture,,71000000,jonti-craft.com
JOURNEY GROUP,,South Dakota,98,Construction,,150000000,journeyconstruction.com
JOYCE DAYTON,,,125,Machinery Manufacturing,,44400000,http://www.joycedayton.com
JR AUTOMATION,,,1700,Industrial Machinery Manufacturing,,600000000,jrautomation.com
JTM FOOD,,,750,Food and Beverage Manufacturing,,155200000,http://www.jtmfoodgroup.com
JUNGLE JIM'S INTERNATIONAL MARKET,,,340,Retail,,34289000,http://www.junglejims.com
JUST BORN,,,750,Food and Beverage Manufacturing,,243000000,http://www.justborn.com
JUST GOT 2 HAVE IT !,,,67,Retail,,39886000,http://www.justgot2haveit.com
JWF INDUSTRIES,,Pennsylvania,170,machinery,,108200000,jwfi.com
K&G FASHION SUPERSTORE,,,760,Retail,,318363000,http://www.kgstores.com
KAHLER AUTOMATION,,Minnesota,59,machinery,,31782000,kahlerautomation.com
KANE INNOVATIONS,,Pennsylvania,53,mining & metals,,35000000,kaneinnovations.com
KAPCO,,,350,Plastics Manufacturing,,81500000,http://www.kapco.com
KAPCO METAL STAMPING,,,350,Mechanical Or Industrial Engineering,,97500000,http://www.kapcoinc.com/
KATUN,,,390,Retail,,75400000,http://www.katun.com
KAYSUN CORPORATION,,,350,Plastics Manufacturing,,33200000,http://www.kaysun.com
KC JONES PLATING,,,125,Motor Vehicle Manufacturing,,44215000,http://www.kcjplating.com
KEH,,,220,Retail,,30000000,http://www.keh.com
KEITHLEY INSTRUMENTS,,,350,"Appliances, Electrical, and Electronics Manufacturing",,44200000,http://www.keithley.com/
KELPAC MEDICAL,,Minnesota,580,medical devices,,120000000,kelpacmedical.com
KENALL LIGHTING,,,350,"Appliances, Electrical, and Electronics Manufacturing",,35700000,http://www.kenall.com
KENAN ADVANTAGE GROUP,https://www.linkedin.com/company/82488,,1119,Transportation/Trucking/Railroad,,250000000,
KENDALL PACKAGING,,Wisconsin,73,Packaging & Containers,,26000000,kendallpkg.com
KENDRICK PLASTICS,,Michigan,92,Automotive,,76100000,kendrickplastics.com
KENNEDY TANK AND MANUFACTURING,,Indiana,70,Mechanical Or Industrial Engineering,,26000000,kennedytank.com
KENT DISPLAYS,,,73,electrical/electronic manufacturing,,28301000,http://www.kentdisplays.com
KENT QUALITY FOODS,,,125,Food and Beverage Manufacturing,,35000000,http://www.kqf.com
KENWAL STEEL,,,350,Mining,,251200000,http://www.kenwal.com
KEYSTONE POWDERED METAL,,,350,Motor Vehicle Manufacturing,,100000000,http://keystonepm.com
KI,,,3000,Furniture and Home Furnishings Manufacturing,,209000000,http://www.ki.com
KI MOBILITY,,,350,Medical Equipment Manufacturing,,52900000,http://www.kimobility.com
KICHLER LIGHTING,,,350,Manufacturing,,450000000,http://www.kichler.com
KILWINS CHOCOLATES FRANCHISE,,,125,Food and Beverage Manufacturing,,50000000,http://www.kilwins.com
KINETICO,,,350,Manufacturing,,218000000,http://www.kinetico.com
KINEX MEDICAL COMPANY,,Wisconsin,170,medical devices,,65300000,kinexmedical.com
KING BUSINESS INTERIORS,,,125,Furniture and Home Furnishings Manufacturing,,33800000,https://www.kbiinc.com/
"KINGSBURY, INC.",,Pennsylvania,200,machinery,,48500000,kingsbury.com
KIP,,,125,Retail Office Equipment,,37500000,http://www.kip.com
KLEEN TEST PRODUCTS CORPORATION,,,750,Manufacturing,,300000000,http://www.kleentest.com
KLN FAMILY BRANDS,,,109,Mechanical Or Industrial Engineering,,354300000,klnfamilybrands.com
KLOSTERMAN BAKING,,,750,Food and Beverage Manufacturing,,245000000,http://www.klostermanbakery.com
KMC CONTROLS,,,180,electrical/electronic manufacturing,,72000000,http://www.kmccontrols.com
KNAPE & VOGT MANUFACTURING,,,3000,Manufacturing,,46497000,http://www.knapeandvogt.com
KNIGHT GLOBAL,,Michigan,130,machinery,,25000000,knightglobal.com
KNOTT BRAKE,,,125,Motor Vehicle Manufacturing,,30500000,http://www.knottbrake.com
KNOUSE FOODS,,,3000,Food and Beverage Manufacturing,,45300000,http://www.knouse.com
KOENIG EQUIPMENT,,,350,Oil and Gas,,43000000,http://www.koenigequipment.com
KONDEX CORPORATION,,,120,Industrial Machinery Manufacturing,,27900000,kondex.com
KOOPS AUTOMATION SYSTEMS,,,350,Automation Machinery Manufacturing,,31600000,http://www.koops.com
KRB MACHINERY COMPANY,,Pennsylvania,57,Construction,,26090000,krbmachinery.com
"KROFF, INC.",,,84,Chemical Manufacturing,,60000000,kroff.com
KRYSTAL BIOTECH,,,125,Biotechnology,,70900000,http://www.krystalbio.com/
KURT J. LESKER,,,350,Semiconductor Manufacturing,,220000000,http://www.lesker.com
KURTZ BROS.,,,125,Manufacturing,,31100000,http://www.kurtz-bros.com
KYOCERA SGS,,,7500,Industrial Machinery Manufacturing,,55000000,http://www.kyocera-sgstool.com
L & S ELECTRIC,,,350,Automation Machinery Manufacturing,,63200000,https://www.lselectric.com
L&L PRODUCTS,,,3000,Automotive,,150000000,http://www.llproducts.com
LA-CO INDUSTRIES,,,125,Chemical Manufacturing,,32000000,https://www.lacoindustries.com
LAFORCE,,,750,Construction,,162300000,http://www.laforceinc.com
LAFRANCE,,,750,Manufacturing,,75000000,http://www.lafrancecorp.com
LAIRD CONNECTIVITY,,,125,Computers and Electronics Manufacturing,,56400000,http://www.lairdconnect.com
LAKE SHORE CRYOTRONICS,,,170,electrical/electronic manufacturing,,25000000,http://www.lakeshore.com
LAKESIDE FOODS,,,3000,Food and Beverage Manufacturing,,300000000,http://lakesidefoods.com
LAMINATIONS,,Wisconsin,96,Packaging & Containers,,32200000,laminationsonline.com
LANDAAL PACKAGING SYSTEMS,,Michigan,78,Packaging & Containers,,50000000,landaal.com
LANDSCAPE FORMS,,,350,Furniture and Home Furnishings Manufacturing,,81900000,http://www.landscapeforms.com
LANE BRYANT,,,4000,Retail,,380000000,http://www.lanebryant.com
LANNETT COMPANY,,,3000,Pharmaceutical Manufacturing,,308500000,http://www.lannett.com
LANTECH,,,350,Machinery Manufacturing,,242900000,http://www.lantech.com
LASER MECHANISMS,,Michigan,71,Semiconductors,,34500000,lasermech.com
LASKO PRODUCTS,,,750,Manufacturing,,130000000,http://www.lasko.com
"LAVELLE INDUSTRIES, INC.",,Wisconsin,500,Manufacturing,,153600000,lavelle.com
LB WHITE COMPANY,,Wisconsin,76,Machinery Manufacturing,,53000000,lbwhite.com
LDV,,Wisconsin,110,Automotive,,126300000,ldvusa.com
LEBANON SEABOARD,,,350,Manufacturing,,215700000,http://www.lebsea.com
LEE INDUSTRIES,,,350,Machinery Manufacturing,,50000000,http://www.leeind.com/
LEER GROUP,,Indiana,300,Automotive,,600000000,leer.com
LEGACY INDUSTRIES,,,140,Automation Machinery Manufacturing,,56900000,legacy-ind.com
LENEX STEEL COMPANY,,Indiana,55,Construction,,27000000,lenexsteel.com
LENOX,,,350,Manufacturing,,400000000,http://www.lenox.com
LESCO DESIGN & MANUFACTURING,,Kentucky,89,Industrial Automation,,25000000,lescodesign.com
LESTER BUILDING SYSTEMS,,Minnesota,130,Construction,,39000000,lesterbuildings.com
LESTER SALES COMPANY,,Indiana,63,electrical/electronic manufacturing,,25000000,lestersalesco.com
LEVENGER COMPANY,,,96,Retail,,45000000,http://www.levenger.com
LEWCO,,,125,Machinery Manufacturing,,31900000,http://www.lewcoinc.com
LIBRA INDUSTRIES,,,350,"Appliances, Electrical, and Electronics Manufacturing",,40000000,http://www.libraindustries.com
LIFECORE BIOMEDICAL,,Minnesota,270,Pharmaceuticals,,185800000,lifecore.com
LIFESCAN,,Pennsylvania,2083,medical devices,,501400000,lifescan.com
LIGHTCORP,,Michigan,54,electrical/electronic manufacturing,,30000000,lightcorp.com
LINCOLN ELECTRIC,https://www.linkedin.com/company/10281,,5001,machinery,,328600000,lincolnelectric.com
LINCOLN ELECTRIC HOLDINGS INC.,https://www.linkedin.com/company/10281,Ohio,5001,machinery,,328600000,lincolnelectric.com
LINDAR CORPORATION,,Minnesota,68,plastics,,35000000,lindarcorp.com
LINK ENGINEERING,,,750,Industrial Machinery Manufacturing,,162900000,http://www.linkeng.com
"LIPHATECH, INC.",,,74,Chemical Manufacturing,,52000000,liphatech.com
LITTFIN LUMBER,,Minnesota,61,Construction,,50000000,littfintruss.com
LITTLE RAPIDS CORPORATION,,,350,Paper and Forest Product Manufacturing,,87400000,http://www.littlerapids.com
LITTLE TIKES,,,3000,Manufacturing,,450000000,http://www.littletikes.com
LLFLEX,,Kentucky,78,Packaging & Containers,,120000000,llflex.com
LNS NORTH AMERICA,,,750,Machinery Manufacturing,,41800000,http://www.LNS-northamerica.com
LOC PERFORMANCE,,,750,Manufacturing,,120000000,http://www.locperformance.com
LOCK JOINT TUBE,,Indiana,170,Manufacturing,,25000000,ljtube.com
LOGAN ALUMINUM,,Kentucky,760,mining & metals,,228900000,logan-aluminum.com
LOMAR MACHINE & TOOL COMPANY,,Michigan,62,machinery,,25600000,lomar.com
LORDSTOWN MOTORS,,,750,Motor Vehicle Manufacturing,,187100000,http://www.lordstownmotors.com
LOUISVILLE LADDER,,Kentucky,500,Mechanical Or Industrial Engineering,,320000000,louisvilleladder.com
LOWELL INC.,,Minnesota,61,medical devices,,30037000,lowellinc.com
LSI INDUSTRIES,,,3000,"Appliances, Electrical, and Electronics Manufacturing",,455100000,http://www.lsicorp.com
LUTRON ELECTRONICS,,,2800,"Appliances, Electrical, and Electronics Manufacturing",,210000000,lutron.com
M8 PHARMACEUTICALS,,,350,Pharmaceutical Manufacturing,,258000000,http://www.m8pharmaceuticals.com
MAC PAPERS AND PACKAGING,,,750,"Transportation, Logistics, Supply Chain and Storage",,469700000,https://www.macpapers.com
MAC TOOLS,,,350,Motor Vehicle Manufacturing,,115500000,http://www.mactools.com
MAC VALVES,,,750,Automation Machinery Manufacturing,,300000000,http://www.macvalves.com
MACTAC,,,750,Chemical Manufacturing,,339000000,http://www.mactac.com
MADISON-KIPP CORPORATION,,,350,Motor Vehicle Manufacturing,,37000000,http://madison-kipp.com
MAGIC LEAP,,,1400,electrical/electronic manufacturing,,185000000,http://www.magicleap.com
MAGNA MACHINE CO.,,,125,Machinery Manufacturing,,40600000,https://www.magna-machine.com/
MAGNUM MAGNETICS,,,350,Consumer Goods,,59000000,http://www.magnummagnetics.com
MAJOR TOOL & MACHINE,,Indiana,240,Defense & Space,,89000000,majortool.com
MALCO PRODUCTS,,,350,Chemical Manufacturing,,96900000,http://www.malcopro.com
MAMMOTOME,,,750,Medical Equipment Manufacturing,,170000000,http://www.mammotome.com
MANITOWOC TOOL & MACHINING,,,350,Machinery Manufacturing,,48600000,http://www.mantool.com
MANSFIELD PLUMBING,,,750,Building Materials,,51800000,http://www.mansfieldplumbing.com
MANUFACTURING TECHNOLOGY,,,350,Machinery Manufacturing,,40000000,http://www.MTIwelding.com
MARCHANT SCHMIDT,,Wisconsin,110,machinery,,35500000,marchantschmidt.com
MARION BODY WORKS,,,350,Motor Vehicle Manufacturing,,54400000,https://www.marionbody.com
MARION TOOL & DIE,,Indiana,63,Aviation & Aerospace,,27980000,mariontool.com
MARKING SERVICES,,Wisconsin,360,Construction,,67900000,markserv.com
MARMON/KEYSTONE,,,350,Mining,,307500000,http://www.marmonkeystone.com
MARSH ELECTRONICS,,,125,"Appliances, Electrical, and Electronics Manufacturing",,180000000,http://www.marshelectronics.com
MARTIN CALIBRATION INC.,,Minnesota,55,machinery,,68300000,martincalibration.com
MARXMODA,,,67,Furniture and Home Furnishings Manufacturing,,60600000,marxmoda.com
MASTER FLUID SOLUTIONS,,,350,Chemical Manufacturing,,125000000,https://www.masterfluids.com
"MASTERMOLD, LLC",,Wisconsin,94,plastics,,54000000,mastermoldllc.com
